Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
439000.0,3190,HOUSE,HOUSE,,3.0,168.0,False,0.0,,1.0,,,,,293.0,4.0,0.0,,
620000.0,2280,HOUSE,VILLA,,3.0,213.0,False,,1.0,1.0,23.0,1.0,1500.0,1500.0,1717.0,4.0,1.0,,
995000.0,9667,HOUSE,VILLA,GOOD,6.0,561.0,False,,,1.0,,,,,4925.0,,,,
895000.0,9000,HOUSE,HOUSE,TO_RENOVATE,5.0,252.0,False,0.0,,1.0,,,,,294.0,,,,
1295000.0,9000,HOUSE,MANSION,,4.0,231.0,False,,,1.0,,,,,151.0,2.0,,,
142500.0,8370,APARTMENT,APARTMENT,AS_NEW,1.0,44.0,False,,,,,,,,,,,0.0,1.0
795000.0,1000,HOUSE,APARTMENT_BLOCK,,0.0,237.0,False,0.0,,,,,,,62.0,3.0,0.0,0.0,0.0
250000.0,4020,APARTMENT,PENTHOUSE,GOOD,2.0,81.0,False,0.0,,1.0,46.0,,,,,2.0,0.0,0.0,1.0
1195000.0,1180,HOUSE,HOUSE,TO_BE_DONE_UP,5.0,380.0,True,0.0,,1.0,65.0,1.0,170.0,170.0,285.0,2.0,0.0,1.0,0.0
369000.0,2000,APARTMENT,APARTMENT,,1.0,92.0,False,,,1.0,6.0,,,,,,,0.0,1.0
169500.0,1000,APARTMENT,FLAT_STUDIO,AS_NEW,0.0,30.0,False,,,,,,,,,2.0,0.0,0.0,1.0
2695000.0,2970,HOUSE,VILLA,AS_NEW,6.0,668.0,False,,1.0,1.0,60.0,1.0,3423.0,3423.0,3423.0,4.0,1.0,0.0,1.0
350000.0,4650,HOUSE,VILLA,,3.0,168.0,False,0.0,,1.0,,,,,355.0,4.0,0.0,0.0,0.0
177500.0,8790,APARTMENT,APARTMENT,,2.0,76.0,False,0.0,,1.0,4.0,,,,,2.0,0.0,0.0,0.0
225000.0,4530,APARTMENT,DUPLEX,,2.0,95.0,False,0.0,,1.0,,,,,,2.0,0.0,0.0,0.0
195000.0,6900,HOUSE,HOUSE,GOOD,3.0,150.0,False,,,,,,,,348.0,,,,
460000.0,1160,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,140.0,False,0.0,,1.0,,1.0,100.0,100.0,165.0,2.0,0.0,1.0,0.0
95000.0,4040,APARTMENT,FLAT_STUDIO,JUST_RENOVATED,1.0,36.0,False,0.0,,1.0,5.0,,,,,2.0,0.0,0.0,1.0
265000.0,2640,APARTMENT,APARTMENT,GOOD,3.0,140.0,False,,,1.0,,,,,,3.0,,,1.0
